moderator,model,or,or_lo,or_hi,p,p_holm
difficulty,Qwen/Qwen2.5-14B-Instruct,1.5251314491366914,0.619286662232551,3.7559761561154503,0.3586774727841754,1.0
difficulty,Qwen/Qwen2.5-32B-Instruct,1.1067368285438997,0.3697300354617574,3.3128669303960345,0.8561360249364782,1.0
difficulty,Qwen/Qwen2.5-3B-Instruct,0.9011878790932376,0.2560577587784505,3.171704686079275,0.8712612351819595,1.0
difficulty,Qwen/Qwen2.5-7B-Instruct,0.4098031044589543,0.2074424531276588,0.8095670962821109,0.01022487606187223,0.17721732094036188
difficulty,google/gemma-2-9b-it,0.8910106099279423,0.2489287143666667,3.189266087779517,0.859219393546719,1.0
difficulty,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9981391685533064,0.2882502093379876,3.4563090243313455,0.9976549341756986,1.0
source_injected,Qwen/Qwen2.5-14B-Instruct,2.4523482169688564,1.2409804242641957,4.846177795944015,0.009845406718908994,0.17721732094036188
source_injected,Qwen/Qwen2.5-32B-Instruct,0.46080719038976664,0.09173094796110448,2.314848711745003,0.3468174579945612,1.0
source_injected,Qwen/Qwen2.5-3B-Instruct,0.4643480689992328,0.06007361937997933,3.589248182625326,0.4622181508606543,1.0
source_injected,Qwen/Qwen2.5-7B-Instruct,0.6923801470218871,0.2678887708378429,1.7895123654893026,0.4479762456962526,1.0
source_injected,google/gemma-2-9b-it,0.33720930232558144,0.13249424004267743,0.8582268447162568,0.022564149612691337,0.3610263938030614
source_injected,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0383326452152557,0.2847290614934222,3.7865284156974512,0.9545588051826555,1.0
diff_lines_z,Qwen/Qwen2.5-14B-Instruct,1.3955538611208644,0.7254883091857348,2.684496158835756,0.31802311611198886,1.0
diff_lines_z,Qwen/Qwen2.5-32B-Instruct,,,,,
diff_lines_z,Qwen/Qwen2.5-3B-Instruct,0.6375095328915534,0.343106648716873,1.1845250042443147,0.15438073613260378,1.0
diff_lines_z,Qwen/Qwen2.5-7B-Instruct,1.0255942893463235,0.6302926737135898,1.6688178210012907,0.9189610189382188,1.0
diff_lines_z,google/gemma-2-9b-it,0.9711641431743424,0.6026855645766689,1.5649284609131755,0.9043235436950243,1.0
diff_lines_z,meta-llama/Meta-Llama-3.1-8B-Instruct,1.3316158161967122,0.7816673459548652,2.2684850417784035,0.29202542061630077,1.0
