outcome,model,term,or,or_lo,or_hi,p,cl_or,cl_p,p_holm
approved,Qwen/Qwen2.5-14B-Instruct,cond[confident],1.2646436132674608,0.963074925142199,1.6606428293645352,0.0911683115589881,7.3731098773248895,0.03185945462984719,0.2735049346769643
approved,Qwen/Qwen2.5-14B-Instruct,cond[confident_extra_neutral],1.3561253561253483,0.9227076146642407,1.9931297328626847,0.12101594289278463,26.917319861090498,0.008122298551460294,0.2735049346769643
approved,Qwen/Qwen2.5-14B-Instruct,cond[unsupported_claims],2.047220106626023,1.156369310222112,3.6243699378089236,0.013952479685345787,7624710.37160922,0.7989824787529414,0.06976239842672893
approved,Qwen/Qwen2.5-32B-Instruct,cond[confident],1.467508181393167,0.9758156765599116,2.206953950614933,0.06542071272346009,8.953823961482533,0.0012885754084812813,0.26168285089384036
approved,Qwen/Qwen2.5-32B-Instruct,cond[confident_extra_neutral],1.3456221198156628,0.777973944364013,2.3274544121364222,0.28828681408114665,4.797224603034684,0.012682663939736435,0.28828681408114665
approved,Qwen/Qwen2.5-32B-Instruct,cond[unsupported_claims],2.53401122019633,1.368382869566902,4.692555721713492,0.0031006766792654743,1180356.2981038583,0.6521996584556581,0.02170473675485832
approved,Qwen/Qwen2.5-3B-Instruct,cond[confident],1.863309352517984,1.3390178780705813,2.5928867717462842,0.0002227903080568453,29.496939834684408,2.042575951821528e-07,0.002227903080568453
approved,Qwen/Qwen2.5-3B-Instruct,cond[confident_extra_neutral],2.7391304347826066,1.7726200482179835,4.232624778386636,5.67382665273674e-06,287.984844077785,6.716510006185509e-13,9.078122644378784e-05
approved,Qwen/Qwen2.5-3B-Instruct,cond[unsupported_claims],6.373134328358214,3.541252603641084,11.469625500744012,6.507815180702454e-10,9716.856400135646,7.573120390312326e-23,1.1714067325264417e-08
approved,Qwen/Qwen2.5-7B-Instruct,cond[confident],1.4946185501741054,1.1281646433879453,1.9801051412283732,0.005106223630987609,18.210325899818,1.1953142455274223e-05,0.030637341785925656
approved,Qwen/Qwen2.5-7B-Instruct,cond[confident_extra_neutral],2.743255601280293,1.6891223676663552,4.455243408062056,4.529670345491511e-05,331.6833906503438,7.542180199452664e-14,0.0005435604414589814
approved,Qwen/Qwen2.5-7B-Instruct,cond[unsupported_claims],3.0102339181286557,1.8860211985769333,4.804563304319915,3.843666209569207e-06,520.4571539702481,3.193612286624458e-15,6.534232556267652e-05
approved,google/gemma-2-9b-it,cond[confident],1.4972875226039803,1.1633871866342413,1.9270196123024597,0.0017155670244570487,5.99318504288033,4.4703323198053175e-05,0.01372453619565639
approved,google/gemma-2-9b-it,cond[confident_extra_neutral],2.1134552273792835,1.4418109349544284,3.0979741447709293,0.00012544220273492165,38.779982775250595,8.318545857546658e-10,0.0013798642300841381
approved,google/gemma-2-9b-it,cond[unsupported_claims],2.9682000617474675,1.7722639753385248,4.971162157079229,3.55125046963209e-05,291.4830312863794,1.618092667563681e-13,0.0004616625610521717
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident],1.8490359333917625,1.2999329720461277,2.6300847478254643,0.000628322886290845,6.471026681510564,1.2116298282773418e-06,0.005654905976617605
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident_extra_neutral],3.2787028921998247,1.8942551400320105,5.674997220880096,2.213572234432072e-05,45.04456961864819,2.4624532568435853e-13,0.00031501885540845644
